order_id,customer_name,new_order_date,order_year,month_name,order_month,order_day,category,sub_category,net_sales,discount,profit,total_sales,profit_percentage,region,city
OD34,Anu,2016-09-17,2016,September,9,17,Oil & Masala,Masalas,1351.2,0.34,337.8,1689,25,East,Madurai
OD35,Anu,2018-10-19,2018,October,10,19,Beverages,Health Drinks,728.1,0.32,80.9,809,11.111111111111112,Central,Vellore
OD36,Sabeela,2017-12-08,2017,December,12,8,"Eggs, Meat & Fish",Eggs,695.75,0.22,569.25,1265,81.81818181818183,Central,Tirunelveli
OD37,James,2017-12-08,2017,December,12,8,Beverages,Soft Drinks,877.96,0.35,56.04,934,6.382978723404255,Central,Salem
OD38,Willams,2016-12-27,2016,December,12,27,Fruits & Veggies,Organic Vegetables,907.1800000000001,0.16,446.82,1354,49.25373134328358,Central,Ramanadhapuram
OD39,Jonas,2016-12-27,2016,December,12,27,Fruits & Veggies,Fresh Fruits,1470.84,0.19,280.16,1751,19.04761904761905,Central,Chennai
OD40,Sabeela,2016-12-27,2016,December,12,27,"Eggs, Meat & Fish",Chicken,1165.65,0.23,879.35,2045,75.43859649122807,Central,Cumbum
OD41,Malik,2016-12-27,2016,December,12,27,Beverages,Health Drinks,567.6,0.19,92.4,660,16.27906976744186,Central,Namakkal
OD42,Arutra,2018-09-10,2018,September,9,10,Beverages,Soft Drinks,1251.56,0.18,616.44,1868,49.25373134328359,Central,Salem
OD43,Sharon,2017-07-17,2017,July,7,17,Snacks,Cookies,671.22,0.25,345.78,1017,51.515151515151516,West,Bodi
OD44,Mathew,2018-09-19,2018,September,9,19,Snacks,Cookies,1271.05,0.2,1039.95,2311,81.81818181818183,South,Dharmapuri
OD45,Amrish,2017-03-11,2017,March,3,11,Bakery,Biscuits,931.28,0.17,731.72,1663,78.57142857142858,Central,Krishnagiri
OD46,Vince,2017-03-11,2017,March,3,11,"Eggs, Meat & Fish",Eggs,1065,0.19,355,1420,33.33333333333333,Central,Madurai
OD47,Suresh,2015-10-20,2015,October,10,20,Fruits & Veggies,Organic Vegetables,905.6,0.31,509.4,1415,56.25,Central,Nagercoil
OD48,Mathew,2017-06-20,2017,June,6,20,Snacks,Noodles,877.92,0.3,610.08,1488,69.49152542372882,East,Chennai
OD49,Ridhesh,2017-06-20,2017,June,6,20,Snacks,Noodles,682.44,0.18,43.56,726,6.382978723404255,East,Pudukottai
OD50,Amrish,2016-04-18,2016,April,4,18,Bakery,Cakes,843.53,0.15,415.47,1259,49.25373134328358,Central,Ooty
OD51,Esther,2016-04-18,2016,April,4,18,Beverages,Soft Drinks,748.66,0.29,153.34,902,20.481927710843376,Central,Salem
OD52,Shah,2016-04-18,2016,April,4,18,Beverages,Soft Drinks,1752.56,0.3,553.44,2306,31.578947368421055,Central,Salem
OD53,Sudha,2016-04-18,2016,April,4,18,Bakery,Cakes,1317.81,0.19,99.19,1417,7.526881720430108,Central,Theni
OD54,Yusuf,2017-12-11,2017,December,12,11,Fruits & Veggies,Fresh Vegetables,445.16999999999996,0.33,181.83,627,40.845070422535215,East,Madurai
OD55,Esther,2017-12-11,2017,December,12,11,Fruits & Veggies,Organic Fruits,699.2,0.28,60.8,760,8.695652173913041,East,Nagercoil
OD56,Muneer,2017-06-17,2017,June,6,17,Food Grains,Atta & Flour,1739,0.15,611,2350,35.13513513513514,East,Salem
OD57,Komal,2017-06-17,2017,June,6,17,"Eggs, Meat & Fish",Fish,907.8299999999999,0.34,271.17,1179,29.870129870129876,East,Krishnagiri
OD58,Veena,2017-06-17,2017,June,6,17,Food Grains,Dals & Pulses,1429.12,0.35,194.88,1624,13.636363636363638,East,Trichy
OD59,Sharon,2017-06-17,2017,June,6,17,"Eggs, Meat & Fish",Mutton,894.88,0.35,421.12,1316,47.05882352941176,East,Trichy
OD60,Shree,2017-06-17,2017,June,6,17,Beverages,Health Drinks,1442.28,0.12,678.72,2121,47.05882352941177,East,Coimbatore
OD61,Roshan,2017-06-17,2017,June,6,17,Oil & Masala,Masalas,1156.68,0.28,271.32,1428,23.456790123456788,East,Virudhunagar
OD62,Willams,2017-06-17,2017,June,6,17,Snacks,Noodles,416.54,0.33,289.46,706,69.4915254237288,East,Perambalur
OD63,Sudeep,2016-11-24,2016,November,11,24,"Eggs, Meat & Fish",Fish,736.8,0.25,184.2,921,25,West,Dharmapuri
OD64,Yusuf,2016-11-24,2016,November,11,24,Fruits & Veggies,Fresh Fruits,1079.42,0.31,661.58,1741,61.29032258064516,West,Trichy
OD65,Willams,2016-11-24,2016,November,11,24,"Eggs, Meat & Fish",Eggs,406.69,0.22,200.31,607,49.25373134328358,West,Madurai
OD66,Muneer,2016-11-24,2016,November,11,24,"Eggs, Meat & Fish",Mutton,1057.92,0.25,766.08,1824,72.41379310344827,West,Tirunelveli
OD67,Vinne,2016-04-30,2016,April,4,30,Food Grains,Atta & Flour,984.96,0.11,383.04,1368,38.88888888888889,Central,Madurai
OD68,Roshan,2015-12-05,2015,December,12,5,Fruits & Veggies,Fresh Vegetables,649.6,0.16,510.4,1160,78.57142857142857,West,Pudukottai
OD69,Ramesh,2015-12-05,2015,December,12,5,Food Grains,Atta & Flour,1216.36,0.23,77.64,1294,6.382978723404256,West,Viluppuram
OD70,Peer,2017-06-04,2017,June,6,4,Oil & Masala,Masalas,677.6,0.14,554.4,1232,81.81818181818181,South,Ooty
OD71,Verma,2017-09-18,2017,September,9,18,"Eggs, Meat & Fish",Mutton,636.1600000000001,0.31,357.84,994,56.249999999999986,East,Kanyakumari
OD72,Yusuf,2018-09-14,2018,September,9,14,Snacks,Noodles,1456.12,0.18,1011.88,2468,69.49152542372882,Central,Kanyakumari
OD73,Alan,2016-04-26,2016,April,4,26,Snacks,Cookies,620.06,0.27,100.94,721,16.27906976744186,South,Theni
OD74,Vidya,2016-04-26,2016,April,4,26,Fruits & Veggies,Organic Vegetables,1900,0.21,475,2375,25,South,Vellore
OD75,Arvind,2016-04-26,2016,April,4,26,Beverages,Soft Drinks,1847.1,0.13,117.9,1965,6.382978723404256,South,Vellore
OD76,Veronica,2018-12-09,2018,December,12,9,Beverages,Soft Drinks,1295.43,0.12,193.57,1489,14.942528735632182,Central,Bodi
OD77,Arvind,2018-12-09,2018,December,12,9,Fruits & Veggies,Organic Fruits,1175,0.27,75,1250,6.382978723404255,Central,Ooty
OD78,Anu,2018-12-09,2018,December,12,9,Snacks,Noodles,869.12,0.31,488.88,1358,56.25,Central,Coimbatore
OD79,Haseena,2015-11-26,2015,November,11,26,Snacks,Cookies,654.29,0.2,64.71,719,9.89010989010989,Central,Vellore
OD80,Veena,2017-06-12,2017,June,6,12,Fruits & Veggies,Organic Fruits,1681.19,0.26,621.81,2303,36.986301369863014,South,Chennai
OD81,Kumar,2017-06-12,2017,June,6,12,Beverages,Health Drinks,1114.85,0.34,912.15,2027,81.81818181818183,South,Kanyakumari
OD82,Amy,2015-10-12,2015,October,10,12,Food Grains,Atta & Flour,973.84,0.29,765.16,1739,78.57142857142857,West,Bodi
OD83,Komal,2015-10-12,2015,October,10,12,Oil & Masala,Spices,762.3,0.26,227.7,990,29.87012987012987,West,Cumbum
OD84,Ravi,2016-09-03,2016,September,9,3,Beverages,Soft Drinks,1671.3400000000001,0.11,682.66,2354,40.84507042253521,South,Dharmapuri
OD85,Amy,2018-11-13,2018,November,11,13,Fruits & Veggies,Organic Fruits,699.48,0.1,344.52,1044,49.25373134328358,Central,Bodi
OD86,Willams,2018-05-28,2018,May,5,28,Oil & Masala,Spices,1469.01,0.25,659.99,2129,44.927536231884055,South,Dindigul
OD87,Sharon,2018-10-26,2018,October,10,26,Food Grains,Rice,1143.35,0.1,615.65,1759,53.84615384615385,Central,Theni
OD88,Ramesh,2018-10-26,2018,October,10,26,"Eggs, Meat & Fish",Eggs,997.8,0.26,665.2,1663,66.66666666666667,Central,Viluppuram
OD89,Sheeba,2017-04-05,2017,April,4,5,Bakery,Breads & Buns,1921.01,0.21,189.99,2111,9.89010989010989,Central,Perambalur
OD90,Krithika,2017-09-17,2017,September,9,17,Food Grains,Dals & Pulses,1427.28,0.12,450.72,1878,31.578947368421055,West,Madurai
OD91,Willams,2017-09-17,2017,September,9,17,"Eggs, Meat & Fish",Chicken,722.86,0.34,46.14,769,6.382978723404255,West,Ooty
OD92,Roshan,2017-09-17,2017,September,9,17,Beverages,Health Drinks,831.47,0.14,409.53,1241,49.25373134328358,West,Virudhunagar
OD93,Ravi,2016-01-31,2016,January,1,31,Food Grains,Atta & Flour,1744.96,0.14,383.04,2128,21.951219512195124,Central,Madurai
OD94,Ram,2016-01-31,2016,January,1,31,Fruits & Veggies,Fresh Fruits,1986.16,0.33,270.84,2257,13.636363636363635,Central,Namakkal
OD95,Mathew,2016-01-31,2016,January,1,31,Snacks,Chocolates,1066.55,0.28,218.45,1285,20.481927710843372,Central,Bodi
OD96,Veena,2018-11-06,2018,November,11,6,"Eggs, Meat & Fish",Fish,787.2,0.13,442.8,1230,56.25,West,Virudhunagar
OD97,Sudha,2018-11-09,2018,November,11,9,Food Grains,Atta & Flour,1132.1599999999999,0.21,723.84,1856,63.93442622950821,East,Ooty
OD98,Sharon,2018-06-17,2018,June,6,17,Fruits & Veggies,Fresh Fruits,419.65,0.31,125.35,545,29.87012987012987,West,Trichy
OD99,Vince,2017-09-06,2017,September,9,6,Snacks,Chocolates,1909.83,0.28,391.17,2301,20.481927710843376,Central,Dharmapuri
OD100,Krithika,2017-08-29,2017,August,8,29,Oil & Masala,Spices,944,0.26,531,1475,56.25,Central,Chennai
OD101,Adavan,2017-08-29,2017,August,8,29,Bakery,Cakes,1207.26,0.35,910.74,2118,75.43859649122807,Central,Coimbatore
OD102,Roshan,2017-08-29,2017,August,8,29,Beverages,Soft Drinks,855.12,0.17,671.88,1527,78.57142857142857,Central,Coimbatore
OD103,Vinne,2017-12-01,2017,December,12,1,Snacks,Chocolates,391.23,0.18,175.77,567,44.927536231884055,Central,Nagercoil
OD104,Amy,2016-11-13,2016,November,11,13,Fruits & Veggies,Fresh Fruits,784.89,0.27,184.11,969,23.45679012345679,West,Ramanadhapuram
OD105,Suresh,2016-11-13,2016,November,11,13,Food Grains,Dals & Pulses,1265,0.14,1035,2300,81.81818181818183,West,Karur
OD106,Komal,2016-11-13,2016,November,11,13,Oil & Masala,Masalas,1496.25,0.33,78.75,1575,5.263157894736842,West,Kanyakumari
OD107,Sundar,2018-11-23,2018,November,11,23,Beverages,Health Drinks,432,0.12,108,540,25,South,Cumbum
OD108,Willams,2018-11-23,2018,November,11,23,Snacks,Cookies,359.12,0.34,176.88,536,49.25373134328358,South,Tirunelveli
OD109,Vidya,2018-11-23,2018,November,11,23,"Eggs, Meat & Fish",Eggs,400.32,0.21,155.68,556,38.88888888888889,South,Tirunelveli
OD110,Shree,2016-10-15,2016,October,10,15,Fruits & Veggies,Fresh Fruits,907.8299999999999,0.16,271.17,1179,29.870129870129876,Central,Coimbatore
OD111,Sundar,2018-12-25,2018,December,12,25,Food Grains,Dals & Pulses,981.4200000000001,0.12,505.58,1487,51.515151515151516,East,Namakkal
OD112,Arvind,2017-11-03,2017,November,11,3,Bakery,Breads & Buns,2109,0.1,111,2220,5.263157894736842,Central,Pudukottai
OD113,Ravi,2017-11-03,2017,November,11,3,Oil & Masala,Edible Oil & Ghee,1573.15,0.3,581.85,2155,36.986301369863014,Central,Dindigul
OD114,Vinne,2015-08-25,2015,August,8,25,Fruits & Veggies,Fresh Vegetables,1084.76,0.1,69.24,1154,6.382978723404255,East,Krishnagiri
OD115,Muneer,2015-08-25,2015,August,8,25,Snacks,Noodles,2178,0.11,242,2420,11.11111111111111,East,Salem
OD116,Rumaiza,2015-08-25,2015,August,8,25,Snacks,Chocolates,1017.9,0.24,287.1,1305,28.20512820512821,East,Karur
OD117,Hussain,2015-08-25,2015,August,8,25,Fruits & Veggies,Organic Fruits,769.41,0.2,157.59,927,20.481927710843376,East,Bodi
OD118,Arvind,2016-03-02,2016,March,3,2,Fruits & Veggies,Organic Vegetables,796.23,0.11,186.77,983,23.45679012345679,West,Viluppuram
OD119,Akash,2016-04-05,2016,April,4,5,Food Grains,Rice,812.7,0.1,90.3,903,11.11111111111111,South,Chennai
OD120,Ganesh,2017-06-12,2017,June,6,12,"Eggs, Meat & Fish",Chicken,1160.9,0.12,74.1,1235,6.382978723404255,East,Cumbum
OD121,Alan,2017-06-12,2017,June,6,12,Fruits & Veggies,Organic Vegetables,1068.98,0.24,174.02,1243,16.27906976744186,East,Tirunelveli
OD122,Harish,2017-06-12,2017,June,6,12,Bakery,Cakes,447.81,0.34,201.19,649,44.927536231884055,East,Krishnagiri
OD123,Veronica,2017-06-12,2017,June,6,12,"Eggs, Meat & Fish",Mutton,2165.68,0.11,188.32,2354,8.695652173913043,East,Tenkasi
OD124,Anu,2017-06-12,2017,June,6,12,Beverages,Soft Drinks,1255.41,0.27,187.59,1443,14.942528735632182,East,Cumbum
OD125,Sudeep,2015-12-26,2015,December,12,26,Bakery,Breads & Buns,585,0.26,390,975,66.66666666666666,Central,Madurai
OD126,Yusuf,2015-09-20,2015,September,9,20,Fruits & Veggies,Organic Vegetables,817.88,0.19,71.12,889,8.695652173913045,Central,Virudhunagar
OD127,Shah,2018-11-05,2018,November,11,5,"Eggs, Meat & Fish",Mutton,1481.76,0.17,870.24,2352,58.730158730158735,West,Karur
OD128,Harish,2018-11-05,2018,November,11,5,Oil & Masala,Spices,956.8199999999999,0.23,336.18,1293,35.13513513513514,West,Tirunelveli
OD129,Sharon,2017-11-06,2017,November,11,6,Food Grains,Rice,860.22,0.29,597.78,1458,69.4915254237288,West,Bodi
OD130,Peer,2017-11-06,2017,November,11,6,Food Grains,Atta & Flour,1674.93,0.22,126.07,1801,7.526881720430106,West,Coimbatore
OD131,Haseena,2018-02-02,2018,February,2,2,Snacks,Chocolates,844.87,0.29,416.13,1261,49.25373134328358,East,Tenkasi
OD132,Sundar,2018-02-02,2018,February,2,2,Beverages,Soft Drinks,2006.4,0.28,105.6,2112,5.263157894736842,East,Nagercoil
OD133,Ram,2018-02-02,2018,February,2,2,"Eggs, Meat & Fish",Fish,499.2,0.24,140.8,640,28.20512820512821,East,Ramanadhapuram
OD134,Shah,2017-10-13,2017,October,10,13,Bakery,Cakes,1342.98,0.12,315.02,1658,23.456790123456788,West,Tenkasi
OD135,Harish,2017-10-13,2017,October,10,13,Beverages,Health Drinks,1708.56,0.18,664.44,2373,38.88888888888889,West,Ramanadhapuram
OD136,Veena,2017-10-13,2017,October,10,13,Fruits & Veggies,Organic Fruits,915.2,0.19,514.8,1430,56.249999999999986,West,Cumbum
OD137,Sundar,2017-10-13,2017,October,10,13,Oil & Masala,Spices,1198.72,0.3,674.28,1873,56.25,West,Viluppuram
OD138,Jackson,2017-10-13,2017,October,10,13,"Eggs, Meat & Fish",Eggs,537.54,0.14,329.46,867,61.29032258064516,West,Theni
OD139,Malik,2017-10-13,2017,October,10,13,Snacks,Noodles,616.56,0.19,484.44,1101,78.57142857142858,West,Theni
OD140,Hussain,2017-10-13,2017,October,10,13,"Eggs, Meat & Fish",Mutton,663.6800000000001,0.28,424.32,1088,63.93442622950819,West,Ooty
OD141,Veena,2017-09-05,2017,September,9,5,Bakery,Biscuits,484.96,0.32,381.04,866,78.57142857142858,East,Perambalur
OD142,Aditi,2018-09-18,2018,September,9,18,Oil & Masala,Masalas,2259.53,0.14,223.47,2483,9.89010989010989,West,Tirunelveli
OD143,Surya,2018-09-18,2018,September,9,18,Food Grains,Atta & Flour,1041.3,0.11,293.7,1335,28.205128205128204,West,Kanyakumari
OD144,Sharon,2018-09-18,2018,September,9,18,"Eggs, Meat & Fish",Fish,512.55,0.24,252.45,765,49.25373134328358,West,Tenkasi
OD145,Vinne,2018-12-22,2018,December,12,22,"Eggs, Meat & Fish",Mutton,1778.22,0.2,624.78,2403,35.13513513513513,Central,Tenkasi
OD146,Malik,2016-09-07,2016,September,9,7,Oil & Masala,Edible Oil & Ghee,977.13,0.13,573.87,1551,58.730158730158735,West,Coimbatore
OD147,Ridhesh,2015-10-22,2015,October,10,22,Food Grains,Organic Staples,1376.32,0.27,187.68,1564,13.636363636363638,East,Theni
OD148,Harish,2017-12-05,2017,December,12,5,Fruits & Veggies,Fresh Vegetables,832.5,0.33,292.5,1125,35.13513513513514,Central,Tirunelveli
OD149,Veronica,2017-12-05,2017,December,12,5,Beverages,Health Drinks,583.6800000000001,0.1,184.32,768,31.578947368421044,Central,Tenkasi
OD150,Ravi,2017-12-05,2017,December,12,5,"Eggs, Meat & Fish",Fish,1250.55,0.26,734.45,1985,58.730158730158735,Central,Vellore
OD151,Muneer,2017-12-05,2017,December,12,5,Food Grains,Rice,1257.85,0.13,1029.15,2287,81.81818181818184,Central,Bodi
OD152,Jackson,2017-03-13,2017,March,3,13,Snacks,Chocolates,680.72,0.34,335.28,1016,49.253731343283576,West,Pudukottai
OD153,Amy,2017-03-13,2017,March,3,13,Snacks,Cookies,775.3199999999999,0.26,76.68,852,9.890109890109892,West,Namakkal
OD154,Ram,2016-05-31,2016,May,5,31,Food Grains,Organic Staples,998.73,0.28,234.27,1233,23.45679012345679,West,Ramanadhapuram
OD155,Jonas,2016-05-31,2016,May,5,31,Snacks,Noodles,1609.92,0.14,626.08,2236,38.88888888888889,West,Pudukottai
OD156,Ramesh,2016-05-31,2016,May,5,31,Fruits & Veggies,Fresh Vegetables,1378.44,0.32,809.56,2188,58.73015873015872,West,Viluppuram
OD157,Peer,2016-05-28,2016,May,5,28,Snacks,Cookies,657.26,0.2,456.74,1114,69.49152542372882,West,Coimbatore
OD158,Komal,2015-03-01,2015,March,3,1,Oil & Masala,Edible Oil & Ghee,1153.1,0.15,620.9,1774,53.84615384615385,West,Salem
OD159,Amy,2017-11-20,2017,November,11,20,Beverages,Soft Drinks,1323.84,0.21,1040.16,2364,78.57142857142858,Central,Karur
OD160,Amrish,2017-11-20,2017,November,11,20,Food Grains,Dals & Pulses,1338.3,0.11,148.7,1487,11.11111111111111,Central,Madurai
OD161,Yadav,2017-05-11,2017,May,5,11,Beverages,Soft Drinks,520.49,0.3,192.51,713,36.986301369863014,West,Ooty
OD162,Vinne,2016-12-28,2016,December,12,28,"Eggs, Meat & Fish",Fish,456.94,0.2,280.06,737,61.29032258064516,East,Kanyakumari
OD163,Amrish,2017-11-16,2017,November,11,16,Snacks,Chocolates,662.64,0.26,341.36,1004,51.515151515151516,West,Trichy
OD164,Hussain,2017-11-07,2017,November,11,7,Snacks,Cookies,1394.72,0.32,121.28,1516,8.695652173913043,West,Theni
OD165,Haseena,2015-09-08,2015,September,9,8,Food Grains,Atta & Flour,836.36,0.28,605.64,1442,72.41379310344827,Central,Ramanadhapuram
OD166,Sudha,2015-09-08,2015,September,9,8,Beverages,Health Drinks,1267.5,0.33,422.5,1690,33.33333333333333,Central,Madurai
OD167,Adavan,2015-09-08,2015,September,9,8,Snacks,Chocolates,1677.43,0.13,343.57,2021,20.481927710843372,Central,Bodi
OD168,Aditi,2015-09-08,2015,September,9,8,"Eggs, Meat & Fish",Mutton,1848.6,0.25,491.4,2340,26.582278481012654,Central,Ooty
OD169,Krithika,2015-09-08,2015,September,9,8,Oil & Masala,Spices,528.75,0.15,176.25,705,33.33333333333333,Central,Viluppuram
OD170,Sharon,2015-09-08,2015,September,9,8,"Eggs, Meat & Fish",Chicken,1154.25,0.2,60.75,1215,5.263157894736842,Central,Trichy
OD171,Akash,2015-09-08,2015,September,9,8,Food Grains,Dals & Pulses,314.64,0.25,237.36,552,75.43859649122808,Central,Krishnagiri
OD172,Sabeela,2015-08-05,2015,August,8,5,Beverages,Health Drinks,847.2,0.11,564.8,1412,66.66666666666666,West,Tirunelveli
OD173,Surya,2015-08-05,2015,August,8,5,Food Grains,Dals & Pulses,640.71,0.32,150.29,791,23.456790123456788,West,Tirunelveli
OD174,Alan,2015-08-05,2015,August,8,5,Fruits & Veggies,Organic Vegetables,2055.08,0.33,420.92,2476,20.481927710843376,West,Viluppuram
OD175,Aditi,2015-09-14,2015,September,9,14,Fruits & Veggies,Fresh Vegetables,1275.31,0.27,471.69,1747,36.986301369863014,Central,Karur
OD176,Shah,2015-09-14,2015,September,9,14,Fruits & Veggies,Organic Fruits,1124.6100000000001,0.15,848.39,1973,75.43859649122805,Central,Pudukottai
OD177,Mathew,2018-04-21,2018,April,4,21,Oil & Masala,Spices,1478.25,0.24,546.75,2025,36.986301369863014,Central,Krishnagiri
OD178,Rumaiza,2016-11-21,2016,November,11,21,Snacks,Noodles,792.48,0.29,223.52,1016,28.205128205128204,East,Vellore
OD179,Arvind,2016-11-21,2016,November,11,21,Fruits & Veggies,Organic Fruits,633.88,0.3,55.12,689,8.695652173913043,East,Trichy
OD180,Krithika,2016-12-15,2016,December,12,15,Food Grains,Atta & Flour,978.28,0.16,343.72,1322,35.13513513513514,East,Karur
OD181,Arvind,2015-12-05,2015,December,12,5,Snacks,Cookies,1171.65,0.25,433.35,1605,36.986301369863014,Central,Bodi
OD182,Ravi,2015-12-05,2015,December,12,5,Beverages,Health Drinks,1546.2,0.2,171.8,1718,11.111111111111112,Central,Namakkal
OD183,Jonas,2015-11-19,2015,November,11,19,Oil & Masala,Edible Oil & Ghee,1393.28,0.35,783.72,2177,56.25,South,Madurai
OD184,Surya,2015-11-19,2015,November,11,19,Food Grains,Organic Staples,341.02,0.19,236.98,578,69.49152542372882,South,Cumbum
OD185,Amrish,2015-11-19,2015,November,11,19,Food Grains,Dals & Pulses,586.5,0.28,195.5,782,33.33333333333333,South,Dindigul
OD186,Shah,2017-11-28,2017,November,11,28,Snacks,Noodles,1290.84,0.35,97.16,1388,7.526881720430108,East,Chennai
OD187,Krithika,2015-08-26,2015,August,8,26,Bakery,Cakes,1471.6,0.21,792.4,2264,53.84615384615385,West,Cumbum
OD188,Anu,2017-07-16,2017,July,7,16,Beverages,Soft Drinks,674.79,0.16,138.21,813,20.481927710843376,Central,Pudukottai
OD189,Yusuf,2017-07-16,2017,July,7,16,Fruits & Veggies,Organic Fruits,1450.8,0.24,564.2,2015,38.88888888888889,Central,Madurai
OD190,Rumaiza,2016-10-12,2016,October,10,12,Beverages,Soft Drinks,960.11,0.3,472.89,1433,49.25373134328358,East,Vellore
OD191,Amrish,2016-10-12,2016,October,10,12,Fruits & Veggies,Organic Fruits,1758.12,0.11,334.88,2093,19.04761904761905,East,Chennai
OD192,Muneer,2016-10-12,2016,October,10,12,Fruits & Veggies,Fresh Vegetables,1525.79,0.17,623.21,2149,40.845070422535215,East,Chennai
OD193,Anu,2016-10-12,2016,October,10,12,Beverages,Health Drinks,1557.88,0.32,414.12,1972,26.582278481012654,East,Dharmapuri
OD194,Suresh,2016-10-12,2016,October,10,12,Oil & Masala,Masalas,1627.4,0.25,432.6,2060,26.582278481012654,East,Dharmapuri
OD195,Peer,2016-10-31,2016,October,10,31,"Eggs, Meat & Fish",Eggs,834.25,0.12,340.75,1175,40.845070422535215,West,Tirunelveli
